Start,End,Open,High,Low,Close,Volume,Market Cap
2024-04-11,2024-04-12,70436.71,71247.81,69587.99,70112.05,163489095573.64807,1386263944818.6794
2024-04-10,2024-04-11,69125.17,71078.17,67590.15,70513.6,158897314058.67133,1361469272569.1853
2024-04-09,2024-04-10,71618.12,71714.42,68442.77,69198.22,132405536996.62369,1380410966413.7388
2024-04-08,2024-04-09,69263.8,72724.2,69169.74,71631.77,53155607159.01742,1398900186130.641
2024-04-07,2024-04-08,68875.43,70242.04,68850.36,69388.74,38663785982.0662,1365423108442.9023
2024-04-06,2024-04-07,67729.96,69566.35,67492.52,68904.86,48035020047.05575,1338711116887.5818
2024-04-05,2024-04-06,68333.72,68613.19,66099.34,67928.77,65431097628.58885,1327731241833.481
2024-04-04,2024-04-05,65988.91,69060,65139.94,68461.23,54093502745.375435,1316260215044.4526
2024-04-03,2024-04-04,65481.2,66778.9,64792.98,66074.16,72683290299.31708,1298762245947.2822
2024-04-02,2024-04-03,69609,69609,64706.05,65448.35,76080801183.79442,1304804603707.9546
2024-04-01,2024-04-02,71249.59,71249.59,68246.03,69731.26,48213190568.56795,1370832809192.8083
2024-03-31,2024-04-01,69632.92,71345.73,69632.92,71216.98,33673828685.770035,1385292796666.6482
2024-03-30,2024-03-31,69820.05,70255.82,69560.02,69674.78,39661443298.87108,1375968719915.885
2024-03-29,2024-03-30,70803.3,70893.95,69130.05,69850.52,51441857848.83916,1377166578767.472
2024-03-28,2024-03-29,69472.86,71529.96,69000.37,70702.74,67566089680.905594,1384857408884.182
2024-03-27,2024-03-28,70002.7,71645.99,68515.98,69529.85,66019648699.31359,1372129179583.519
2024-03-26,2024-03-27,69765.16,71489.41,69468.56,70059.97,73479585404.67596,1383063448066.3345
2024-03-25,2024-03-26,66966.03,70929.95,66463.94,69901.99,59756954837.76307,1343279136900.31
2024-03-24,2024-03-25,64157.98,67577.97,63800.19,67246.83,45024109438.60279,1282255280833.2717
2024-03-23,2024-03-24,63699.97,65980.04,63119.94,64238.03,64374279822.71777,1269372119564.4844
2024-03-22,2024-03-23,65533.28,66630,62572.56,63567.63,70777227682.32518,1270908236262.6782
2024-03-21,2024-03-22,67740.03,68091.76,64650.4,65476.17,95859014036.51917,1310224116988.655
2024-03-20,2024-03-21,61915.99,67982.18,60941.74,67854.02,115422036266.33101,1255442147261.359
2024-03-19,2024-03-20,67749.95,68096.05,61624.96,61981.15,102161122550.67596,1265125254132.561
2024-03-18,2024-03-19,68308.53,68920.04,66689.99,67711.55,70679197775.8432,1331893732824.0244
2024-03-17,2024-03-18,66031.71,68870.99,64949.86,68650.08,84278484629.36586,1318367503672.8572
2024-03-16,2024-03-17,69561.38,69931.27,65249.77,65286.52,91914290138.35541,1341113353922.899
2024-03-15,2024-03-16,71536.18,72305.13,65867.11,69532.18,124937923879.67831,1348026241710.3916
2024-03-14,2024-03-15,72961.03,73628.43,68699.98,71432.39,75422276666.89896,1418447482924.0034
2024-03-13,2024-03-14,71421.13,73607.76,71333.36,73087.95,91883183842.28572,1428493117552.5505
2024-03-12,2024-03-13,72263.99,72493.29,69356.89,71473.86,89236459327.29268,1408051567912.5295
2024-03-11,2024-03-12,68820.21,72708.04,67777.97,72094.44,79127508759.96516,1394362835262.7249
2024-03-10,2024-03-11,68323.85,69857.99,68231.15,68949.74,45856212989.623695,1361165877895.2893
2024-03-09,2024-03-10,68080.71,68641.97,67899.97,68513.59,74950745922.96167,1341238544764.014
2024-03-08,2024-03-09,66871.2,69451.15,66398.03,68202.87,71117263448.78049,1329444482209.993
2024-03-07,2024-03-08,65993.97,67854.61,65688.09,66903.82,83044141079.50523,1312006746584.6516
2024-03-06,2024-03-07,63560.41,67573.33,62793.17,66137.13,148737307792.40417,1294560667485.6167
2024-03-05,2024-03-06,68224.28,68887.74,61397.72,63971.07,119133322328.88773,1300021759778.3965
2024-03-04,2024-03-05,63080.01,68363.17,62812.07,68208.36,72073139983.98955,1283150500899.6482
2024-03-03,2024-03-04,61943.57,63182.52,61424.1,63099.99,39212044007.79791,1221676759562.007
2024-03-02,2024-03-03,62360.1,62360.1,61675.41,62004.02,56208251752.832756,1217240504925.6272
2024-03-01,2024-03-02,61140.04,62936,60791.79,62481.07,85949940919.33798,1214945932689.9407
2024-02-29,2024-03-01,62078.01,63470.48,60559.34,61256.01,144808756615.09756,1219195883104.1184
2024-02-28,2024-02-29,57042.48,63699.03,56731.11,62497.28,96658605621.2892,1164352769392.9443
2024-02-27,2024-02-28,54560.01,57501.14,54463.73,57029.24,81248319759.53659,1109066095679.8606
2024-02-26,2024-02-27,51691.06,54899.99,50934.63,54454.91,36684525442.627174,1027264715056.9303
2024-02-25,2024-02-26,51568.1,51932.93,51340.03,51743.97,26241629483.02439,1013995348728.6411
2024-02-24,2024-02-25,50751.71,51664.32,50590.04,51549.1,32711036691.818817,1004422666126.561
2024-02-23,2024-02-24,51284.45,51501.55,50660.19,50830.04,39493253625.42509,1003260328012.4077
2024-02-22,2024-02-23,51775.9,52026.56,50947.82,51339.49,46683002707.09408,1012661011105.777
2024-02-21,2024-02-22,52294.99,52341.7,50772.85,51833,52113128144.954704,1010544584033.8572
2024-02-20,2024-02-21,51797.82,52887.96,50803.55,52278.15,44201495419.13589,1018475229647.9581
2024-02-19,2024-02-20,52132.71,52476.91,51735.45,51739.37,32200605555.16028,1023293619718.3136
2024-02-18,2024-02-19,51647.99,52338.43,51214.73,52119.06,31556666393.19164,1015649368166.6864
2024-02-17,2024-02-18,52124.11,52149.08,50630.03,51673.99,35135235103.73519,1013170389722.5714
2024-02-16,2024-02-17,51883.3,52467.94,51629.9,52121.96,47658101737.50871,1021088711167.46
2024-02-15,2024-02-16,51837.11,52771.03,51325.97,51888.33,53044283555.808365,1021856975705.2683
2024-02-14,2024-02-15,49676,51945.99,49324.02,51819.74,51783098559.191635,997626003492.575
2024-02-13,2024-02-14,49946.97,50204.94,48449.96,49741.98,53147557899.06969,973819271706.3206
2024-02-12,2024-02-13,48273.97,50255.98,47745.03,50017.36,38819283556.00349,957144343058.9303
2024-02-11,2024-02-12,47703.97,48534.61,47608.53,48269.68,30907482420.9338,944692155565.46
2024-02-10,2024-02-11,47195.14,48080.16,46879.57,47760.23,45271931172.94774,929124796534.5192
2024-02-09,2024-02-10,45369.94,48076.09,45252.45,47093.93,47447893766.98258,917726348825.1742
2024-02-08,2024-02-09,44419.55,45550.04,44353.96,45315.99,38856090038.372826,880939468190.6272
2024-02-07,2024-02-08,43110.05,44334.08,42795.21,44328.04,27969351851.296165,849023765894.9581
2024-02-06,2024-02-07,42699.98,43360.57,42578.66,43105.15,29871680562.156796,842840463066.5889
2024-02-05,2024-02-06,42588.21,43494.23,42286.04,42713.66,27480018870.82927,839558061795.4564
2024-02-04,2024-02-05,43000.02,43107.98,42228.04,42609.98,21519856714.55052,841313552908.2717
2024-02-03,2024-02-04,43170,43355.96,42925.88,42970.67,26216205482.686413,845602637890.5122
2024-02-02,2024-02-03,43066.98,43424.42,42629.75,43189.15,33029151046.857143,844821150972.2369
2024-02-01,2024-02-02,42604.11,43239.64,41932.02,43069.45,39172604290.32753,832824885942.1742
2024-01-31,2024-02-01,43006.66,43741.81,42287.98,42611.24,36370523790.21255,841843946108.9652
2024-01-30,2024-01-31,43188.23,43791.13,42811.98,42915.56,35740198570.728226,851486850188.7178
2024-01-29,2024-01-30,41947.97,43283.58,41847.34,43269.41,27579132706.92683,832947409696.5087
2024-01-28,2024-01-29,42121.73,42834.18,41696.43,42018.7,24000943679.146343,828479396542.9547
2024-01-27,2024-01-28,41822.6,42190.01,41473.93,42112.7,33407592486.37979,820243708214.3241
2024-01-26,2024-01-27,39947.42,42205.19,39829.36,41866.1,32730718807.135887,802800029935.345
2024-01-25,2024-01-26,40069.56,40278.07,39579.43,39929.16,30621419031.292683,783521443598.6306
2024-01-24,2024-01-25,39920.76,40538.01,39571.64,40145.83,41600345362.03136,782820543860.5714
2024-01-23,2024-01-24,39588.08,40166.68,38604.83,39873.77,47274722655.56446,773218301080.6306
2024-01-22,2024-01-23,41598.12,41685.73,39516.98,39516.98,28994460404.891987,798736677777.9442
2024-01-21,2024-01-22,41697.86,41864.33,41530.03,41549.91,17447807044.027874,817357256027.9756
2024-01-20,2024-01-21,41633.22,41857.38,41467.97,41668.99,34834893315.627174,815915438030.4808
2024-01-19,2024-01-20,41339.94,42186.01,40336.03,41627.16,43198521354.405594,809636541742.7588
2024-01-18,2024-01-19,42760.1,42916.99,40751.17,41296.92,33318931891.00697,828379582065.8502
2024-01-17,2024-01-18,43156.79,43188,42259.96,42764.71,37442085606.02439,837566559077.0558
2024-01-16,2024-01-17,42541.13,43525.03,42090.04,43137.2,35463632025.689896,841689798259.446
2024-01-15,2024-01-16,41845.43,43369.82,41845.43,42611.43,33296324461.167248,835266702095.0488
2024-01-14,2024-01-15,42827.96,43054.18,41737.9,41737.9,25499524216.74216,838073690302.7526
2024-01-13,2024-01-14,42849.69,43250.08,42463.07,42840.02,59406086861.06969,840027634578.2822
2024-01-12,2024-01-13,46329.06,46416.33,41903.92,42896.05,64852569078.11498,883627165909.5331
2024-01-11,2024-01-12,46599.08,48853.77,45699.32,46356.96,86303502417.2683,912535940470.6725
2024-01-10,2024-01-11,46063.42,47629.98,44632.42,46564.21,62513826925.47735,897555054710.0627
2024-01-09,2024-01-10,47036.79,47842.37,45412.61,46082.08,111651624910.60628,913747261797.2474
2024-01-08,2024-01-09,43945.06,47200.03,43260.51,46900.01,122339226652.33101,878540287995.6586
2024-01-07,2024-01-08,43971.9,44442.83,43625.9,43850.46,96321377330.41463,863408009468.3903
2024-01-06,2024-01-07,44139.38,44180.03,43454.05,43941.78,116149852094.82927,858379671686.9581
2024-01-05,2024-01-06,44141.48,44229.51,43142.74,44112.11,142404301718.6934,857110992812.8049
2024-01-04,2024-01-05,42803.62,44664.55,42635.44,44188.15,163824018762.2648,851408939294.4808
2024-01-03,2024-01-04,44955.47,45474.95,40931.46,42818.03,99309168813.16376,860140132319.3624
2024-01-02,2024-01-03,44245.11,45846.21,44245.11,44957.63,46637934136.05575,885978270304.2056
2024-01-01,2024-01-02,42396.02,44122.03,42227.99,44122.03,25433295176.696865,838286312920.4773
2023-12-31,2024-01-01,42206.16,42814.17,42000.02,42224.09,25914047573.00697,831346753476.4495
2023-12-30,2023-12-31,42040.12,42570.01,41539.76,42198.85,34758190468.90592,824740192162.7178
2023-12-29,2023-12-30,42631.14,43033.78,41683.16,42057.41,35252318490.09059,830544031611.3414
2023-12-28,2023-12-29,43421.73,43730.03,42321.07,42592.06,35332722354.58188,840522742624.6133
2023-12-27,2023-12-28,42484.06,43624.64,42154.05,43384.25,33682997794.167248,838520902844.0488
2023-12-26,2023-12-27,43573.22,43573.22,41723.24,42519.8,32196800352.940765,836347069498.4147
2023-12-25,2023-12-26,43033.57,43725.61,42764,43613.88,27508254036.878048,848441838527.8258
2023-12-24,2023-12-25,43687.93,43927.88,42850.2,43017.9,20957937914.55401,854039074598.122
2023-12-23,2023-12-24,43975.78,43975.78,43351.06,43727.32,26869962875.146343,855108728768.2056
2023-12-22,2023-12-23,43846.04,44358.59,43429.95,43948.89,35915195711.23345,857462782522.8502
2023-12-21,2023-12-22,43637.62,44206.01,43296.11,43849.41,41877316814.80488,856030268805.0941
2023-12-20,2023-12-21,42269.85,44279.96,42225.37,43645.95,36568319532.44599,845239084362.5052
2023-12-19,2023-12-20,42619.05,43314.73,41846.62,42300.16,40146496147.6446,836102666654.8989
2023-12-18,2023-12-19,41430.58,42714.97,40660.03,42666.06,33206375854.62021,810386601169.5261
2023-12-17,2023-12-18,42282.96,42418.39,41298.47,41448.75,24395333766.28223,821144424790.8711
2023-12-16,2023-12-17,41981.1,42697.9,41725.94,42244.61,29560084614.672474,827617815825.6586
2023-12-15,2023-12-16,42961.53,43078.69,41742.32,41953.42,38104663006.09408,831217872975.5052
2023-12-14,2023-12-15,42832.03,43357.6,41938.38,43004.17,42926037867.177704,838437716678.5958
2023-12-13,2023-12-14,41427.04,43354.3,40693.86,42906.87,38015896251.75874,814460789292.8776
2023-12-12,2023-12-13,41233.99,42045.96,40700.59,41512.61,49053492392.33798,813032395077.4147
2023-12-11,2023-12-12,43795.02,43804.42,40375.19,41221.12,43928078511.16197,820322454958.5387
2023-12-10,2023-12-11,43740.05,44032.99,43610.02,43762.68,25488738148.069687,857365108731.7352
2023-12-09,2023-12-10,44228.39,44344.36,43629.98,43701.25,34921098823.93031,861239322684.5992
2023-12-08,2023-12-09,43349.04,44614.01,43129.99,44199.33,39721599933.47387,854157532255.5784
2023-12-07,2023-12-08,43715.38,44045.95,43011.1,43249.99,41066694506.334496,852042865990.6447
2023-12-06,2023-12-07,44093.22,44269.99,43454,43714.53,58528532347.84321,858274492504.7178
2023-12-05,2023-12-06,41829.46,44413.99,41437.9,44085.68,49546230774.14634,829406274555.317
2023-12-04,2023-12-05,39996.28,42386.31,39996.28,41995.8,45256074426.01045,810450559159.561
2023-12-03,2023-12-04,39434.47,40108.54,39288.24,39941.07,26273103178.477352,773508970571.4669
2023-12-02,2023-12-03,38701.97,39652.7,38641.63,39460,28316481429.595818,760724501152.3519
2023-12-01,2023-12-02,37688.39,38959.11,37624.65,38658.06,29151216400.604897,751122334406.7412
2023-11-30,2023-12-01,37854.66,38143.94,37530.89,37715.02,28133746903.427082,738851273635.2118
2023-11-29,2023-11-30,37832.67,38345.98,37623.01,37808.01,68380861881.71528,742003659759.5452
2023-11-28,2023-11-29,37241.07,38273.7,36896.17,37776.89,75091400151.02777,731986258444.243
2023-11-27,2023-11-28,37451.29,37547.98,36754.04,37268.83,61605209279.23345,726547725193.2648
2023-11-26,2023-11-27,37777.78,37814.65,37178.74,37478.11,37743660123.42105,735027077818.8
2023-11-25,2023-11-26,37705.65,37868.05,37598.72,37785.84,69847001048.03136,738200847957.2439
2023-11-24,2023-11-25,37317.25,38378.84,37262.01,37710.8,63986552220.223,735930741871.122
2023-11-23,2023-11-24,37442.59,37635.03,36912.95,37294.4,81193828611.8641,729529881564.5714
2023-11-22,2023-11-23,35855.61,37799.92,35855.61,37448.77,106117889806.5784,716685906515.8467
2023-11-21,2023-11-22,37447.07,37602.23,35942.19,35942.19,84336682277.08014,725823303790.007
2023-11-20,2023-11-21,37280.92,37715.45,36907.91,37465.89,60386651679.97212,728818053937.9373
2023-11-19,2023-11-20,36540.04,37480.34,36400.01,37388.51,40315796737.836235,716132174478.6864
2023-11-18,2023-11-19,36559.84,36807.23,36228.17,36559.41,65134167063.51219,713195256458.2334
2023-11-17,2023-11-18,36138.01,36671.18,35941.81,36514.01,89418490633.31358,710589249458.31
2023-11-16,2023-11-17,37815.47,37869.84,35547.05,36223.54,101359750587.26132,721905113975.77
2023-11-15,2023-11-16,35578,37863.66,35390.38,37863.66,87035457583.99303,708441217469.9756
2023-11-14,2023-11-15,36441.37,36733.34,35150.03,35540.04,73108318930.03136,707820843429.8223
2023-11-13,2023-11-14,37026.56,37337.76,36414.24,36531.68,52392523298.11847,720408941284.8955
2023-11-12,2023-11-13,37142.19,37206.05,36754.31,37035.03,51889143950.89896,724383239455.5436
2023-11-11,2023-11-12,37326.84,37396.29,36788.62,37082.17,76649917042.41463,724286375497.4773
2023-11-10,2023-11-11,36657.35,37445.02,36389.43,37321.14,122296331786.20558,721680330268.2474
2023-11-09,2023-11-10,35586.65,37896.08,35586.65,36775.23,108061382246.04878,714985483316.8153
2023-11-08,2023-11-09,35338.35,35899.37,35161.17,35680.29,74255766024.05576,691477829976.1742
2023-11-07,2023-11-08,35004.43,35853.1,34567.74,35423.24,60287777344.74216,683054397901.6167
2023-11-06,2023-11-07,34939.54,35276.36,34738.19,35019.43,63182615986.452965,683662224127.4983
2023-11-05,2023-11-06,35070.6,35311.03,34604.42,35022.44,43111567922.84321,684409648887.1567
2023-11-04,2023-11-05,34694.69,35208.5,34593.44,35019.68,55912922809.191635,679035091727.1812
2023-11-03,2023-11-04,34849.98,34867.65,34130.74,34730.03,79360142054.65854,674386335017.9652
2023-11-02,2023-11-03,35478.24,35882.72,34455.34,34918.05,99061453438.41115,686504992450.9861
2023-11-01,2023-11-02,34600.02,35517.42,34191.59,35428.26,69974470365.00348,675544256986.7736
2023-10-31,2023-11-01,34465.02,34664.97,34089.59,34650.03,63697328621.9338,671539189072.8083
2023-10-30,2023-10-31,34545.59,34826.34,34081.95,34486.77,52572067458.57143,672578038416.1464
2023-10-29,2023-10-30,34068.78,34716.85,33958.65,34535.58,36743494354.24042,669834704524.3206
2023-10-28,2023-10-29,33899.7,34389.96,33862.69,34088.4,54928203160.66899,665597535259.0872
2023-10-27,2023-10-28,34132.8,34245,33439.18,33910.02,68520266881.045296,663144215209.6063
2023-10-26,2023-10-27,34467.34,34800.64,33770.04,34148.86,86004860587.48772,670324155231.6456
2023-10-25,2023-10-26,33948.12,35096.27,33786,34464.23,120763062943.93379,670307496571.69
2023-10-24,2023-10-25,33021.38,34986.96,32879.2,33856,173591800099.61673,665715380468.7944
2023-10-23,2023-10-24,29952.62,34063.21,29892.17,32941.46,59376973055.533104,603272076936.8989
2023-10-22,2023-10-23,29913.01,30162.17,29747.9,29965.01,42859941684.850174,583880016406.54
2023-10-21,2023-10-22,29672.96,30205.02,29470.81,29894.16,54188231358.87805,581562974817.2717
2023-10-20,2023-10-21,28763.53,30023.31,28594.81,29665.02,64835791914.519165,574421879121.7352
2023-10-19,2023-10-20,28302.91,28865.26,28183.07,28695.97,43606417378.912895,555882169646.4844
2023-10-18,2023-10-19,28406.01,28794.04,28190.5,28322.73,52108311111.95122,554308013142.5923
2023-10-17,2023-10-18,28536.36,28596.46,28117.74,28407.42,75277298262.60278,554001875966.8014
2023-10-16,2023-10-17,27164.23,29291.74,27124.05,28502.1,46487143214.188156,544656089199.89197
2023-10-15,2023-10-16,26842.3,27271.37,26823.21,27146.62,20890044293.243816,525687668696.16254
2023-10-14,2023-10-15,26881.55,26968.05,26807.54,26858.7,29474797697.937283,524555240429.74567
2023-10-13,2023-10-14,26758.71,27055.95,26697.05,26841.72,29005741821.142857,523291290818.6899
2023-10-12,2023-10-13,26849.32,26928.73,26577.4,26738.45,27187051910.125435,522241188248.23346
